STATION,STATION_NAME,DATE,HPCP
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 18:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 19:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 20:00,105
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130610 21:00,3
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130613 03:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130613 04:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130613 09:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130613 11:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130613 16:00,2
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130613 19:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130614 03:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130614 05:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130614 06:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130614 07:00,1
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130614 08:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130616 14:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130616 16:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130616 19:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130617 12:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130617 13:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130617 17:00,0
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130618 09:00,0
