tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_minutes,confidence_score,cvalue
110P04645,6/10/13 16:30,64.47,52,61,0.75,30,100
110N04645,6/10/13 16:30,13.53,49,62,2.71,30,89.53
110+04131,6/10/13 16:45,18.93,40,47,0.02,30,89.53
110-10237,6/10/13 16:45,29.4,31,32,0.12,24,40
110+05755,6/10/13 16:45,34.67,28,34,0.38,30,100
110P04161,6/10/13 16:45,36.53,40,42,0.04,30,100
110N04645,6/10/13 16:45,19.4,49,62,1.89,30,81.4
110N04161,6/10/13 16:45,44.2,44,47,0.03,30,100
110+04303,6/10/13 16:45,14.73,54,60,0.35,30,82.73
110+04614,6/10/13 16:45,13.33,46,62,0.65,30,91.47
110+05757,6/10/13 16:45,33.8,35,38,0.79,30,100
110-05754,6/10/13 16:45,30.47,29,36,0.43,30,100
110P04131,6/10/13 16:45,14.73,39,47,1.76,30,95
110N04131,6/10/13 16:45,21.47,40,52,1.14,30,58.07
110-04614,6/10/13 16:45,48.8,48,64,0.2,30,100
110-05756,6/10/13 16:45,40.8,37,38,0.66,30,94.87
110P04645,6/10/13 16:45,64.53,52,61,0.74,30,100
110+10238,6/10/13 16:45,27,27,32,0.13,20,0
110P04131,6/10/13 17:00,9.33,32,47,2.77,30,75.53
110+04131,6/10/13 17:00,11.4,36,47,0.04,30,72.93
110+04303,6/10/13 17:00,11,53,60,0.47,30,68.8
110-05756,6/10/13 17:00,35.07,37,38,0.77,30,94.87
110P04645,6/10/13 17:00,61.4,47,61,0.78,30,100
110+10238,6/10/13 17:00,30.27,26,32,0.12,29.33,86.67
110-05754,6/10/13 17:00,31,28,36,0.43,28.67,86.67
110+05757,6/10/13 17:00,35.73,35,38,0.75,30,100
110+05755,6/10/13 17:00,28.6,25,34,0.46,30,100
110P04161,6/10/13 17:00,37.13,36,42,0.03,30,100
110-10237,6/10/13 17:00,26.2,29,32,0.14,29.33,93.33
110N04645,6/10/13 17:00,25.73,49,62,1.42,30,71.07
110-04614,6/10/13 17:00,40,38,64,0.25,30,100
110N04131,6/10/13 17:00,13.2,34,52,1.85,30,80.33
110+04614,6/10/13 17:00,14,34,62,0.62,30,87
110N04161,6/10/13 17:00,41.53,44,47,0.03,30,80.4
110-05754,6/10/13 17:15,28,28,36,0.47,20,0
110+04614,6/10/13 17:15,13.13,34,62,0.66,30,97.13
110-04614,6/10/13 17:15,40.73,38,64,0.25,30,100
110+04131,6/10/13 17:15,9.4,36,47,0.05,30,75.13
110P04131,6/10/13 17:15,8.87,32,47,2.92,30,72.87
110+10238,6/10/13 17:15,30.33,26,32,0.12,28.67,86.67
110N04161,6/10/13 17:15,39.07,44,47,0.04,30,67.8
110P04645,6/10/13 17:15,60.87,47,61,0.79,30,100
110N04131,6/10/13 17:15,20.93,34,52,1.16,30,95
110N04645,6/10/13 17:15,22.4,49,62,1.64,30,69.6
110-05756,6/10/13 17:15,34.07,37,38,0.79,30,100
110+05755,6/10/13 17:15,19.4,25,34,0.68,30,100
110P04161,6/10/13 17:15,40.13,36,42,0.03,30,91.8
110+04303,6/10/13 17:15,23.93,53,60,0.21,30,80.33
110-10237,6/10/13 17:15,29,29,32,0.12,20,0
110+05757,6/10/13 17:15,35.07,35,38,0.76,25.33,53.33
110-05754,6/10/13 17:30,35.93,28,36,0.37,30,100
110-10237,6/10/13 17:30,26.07,29,32,0.14,27.33,73.33
110+05757,6/10/13 17:30,34.93,35,38,0.76,29.33,93.33
110+04614,6/10/13 17:30,11.07,34,62,0.78,30,83.8
110+05755,6/10/13 17:30,25.33,25,34,0.52,30,100
110P04161,6/10/13 17:30,32.6,36,42,0.04,30,91.67
110-04614,6/10/13 17:30,51.2,38,64,0.19,30,100
110P04131,6/10/13 17:30,12,32,47,2.16,30,94.13
110+04131,6/10/13 17:30,15.67,36,47,0.03,30,95.93
110N04131,6/10/13 17:30,15.93,34,52,1.53,30,88.07
110N04645,6/10/13 17:30,18.47,49,62,1.99,30,72.53
110N04161,6/10/13 17:30,40.2,44,47,0.04,30,98.47
110P04645,6/10/13 17:30,62.67,47,61,0.77,30,97.27
110+10238,6/10/13 17:30,26,26,32,0.14,20,0
110-05756,6/10/13 17:30,35.4,37,38,0.76,30,100
110+04303,6/10/13 17:30,29.67,53,60,0.17,28,75.2
110-04614,6/10/13 17:45,57.6,38,64,0.17,30,76.07
110+04614,6/10/13 17:45,11.33,34,62,0.76,30,88.73
110+10238,6/10/13 17:45,26,26,32,0.14,20,0
110P04161,6/10/13 17:45,28.67,36,42,0.05,30,87.13
110N04645,6/10/13 17:45,14.93,49,62,2.45,30,50.53
110-05754,6/10/13 17:45,26.8,28,36,0.49,30,100
110-05756,6/10/13 17:45,35,37,38,0.77,30,100
110+04131,6/10/13 17:45,15.33,36,47,0.03,30,82.33
110+05757,6/10/13 17:45,35.47,35,38,0.75,30,100
110N04131,6/10/13 17:45,15.27,34,52,1.6,30,70.67
110+05755,6/10/13 17:45,25.87,25,34,0.51,30,92.6
110-10237,6/10/13 17:45,26.6,29,32,0.13,26,60
110N04161,6/10/13 17:45,44.27,44,47,0.03,27.33,73.33
110P04131,6/10/13 17:45,11.33,32,47,2.28,30,97.6
110+04303,6/10/13 17:45,22.13,53,60,0.23,30,98
110P04645,6/10/13 17:45,66,47,61,0.73,30,85.73
110+10238,6/10/13 18:00,28.47,26,32,0.13,28,80
110-04614,6/10/13 18:00,54.13,37,64,0.18,30,80.27
110P04131,6/10/13 18:00,15.33,34,47,1.69,30,98.8
110+04614,6/10/13 18:00,14.2,32,62,0.61,30,98.8
110+04303,6/10/13 18:00,25.87,52,60,0.2,30,88.67
110-10237,6/10/13 18:00,22.13,26,32,0.16,25.33,30.33
110+04131,6/10/13 18:00,13.4,36,47,0.03,30,80.93
110N04161,6/10/13 18:00,41.8,44,47,0.03,30,100
110P04645,6/10/13 18:00,63.4,48,61,0.76,30,100
110-05756,6/10/13 18:00,34.53,37,38,0.78,30,100
110+05755,6/10/13 18:00,17.73,18,34,0.74,30,100
110N04131,6/10/13 18:00,31.6,31,52,0.77,30,99.67
110+05757,6/10/13 18:00,34.73,35,38,0.77,30,100
110-05754,6/10/13 18:00,19.87,26,36,0.66,30,100
110P04161,6/10/13 18:00,29.67,30,42,0.04,30,100
110N04645,6/10/13 18:00,21.6,52,62,1.7,30,72.8
110N04131,6/10/13 18:15,29.6,31,52,0.82,30,100
110P04131,6/10/13 18:15,19.67,34,47,1.32,30,97.73
110N04645,6/10/13 18:15,30.53,52,62,1.2,30,44.13
110+05755,6/10/13 18:15,23,18,34,0.57,30,100
110P04161,6/10/13 18:15,24.27,30,42,0.05,30,100
110-10237,6/10/13 18:15,22.8,26,32,0.16,28,70.8
110+04614,6/10/13 18:15,15.6,32,62,0.55,30,99.13
110+04131,6/10/13 18:15,19.53,36,47,0.02,30,75.07
110-05754,6/10/13 18:15,32.13,26,36,0.41,30,100
110N04161,6/10/13 18:15,38.53,44,47,0.04,30,86.47
110+04303,6/10/13 18:15,17.87,52,60,0.29,30,90.07
110-04614,6/10/13 18:15,54.93,37,64,0.18,30,99.27
110-05756,6/10/13 18:15,36.67,37,38,0.73,30,100
110+05757,6/10/13 18:15,35.47,35,38,0.75,30,100
110+10238,6/10/13 18:15,30,26,32,0.12,30,100
110P04645,6/10/13 18:15,66.07,48,61,0.73,30,100
110+04303,6/10/13 18:30,45.53,52,60,0.11,24.67,46.67
110P04131,6/10/13 18:30,19.33,34,47,1.34,30,93.13
110+04614,6/10/13 18:30,16,32,62,0.54,30,100
110-04614,6/10/13 18:30,57.6,37,64,0.17,30,99.87
110-05754,6/10/13 18:30,32.53,26,36,0.41,30,100
110+05757,6/10/13 18:30,37.8,35,38,0.71,30,100
110P04645,6/10/13 18:30,65.33,48,61,0.74,30,100
110+04131,6/10/13 18:30,16.93,36,47,0.03,30,98.13
110+10238,6/10/13 18:30,30.2,26,32,0.12,30,99.93
110N04161,6/10/13 18:30,43.13,44,47,0.03,30,100
110+05755,6/10/13 18:30,14.13,18,34,0.93,30,100
110-05756,6/10/13 18:30,35.93,37,38,0.75,30,100
110N04131,6/10/13 18:30,29.87,31,52,0.82,30,100
110P04161,6/10/13 18:30,20.8,30,42,0.06,30,71.93
110N04645,6/10/13 18:30,11.13,52,62,3.29,30,50.2
110-10237,6/10/13 18:30,26,26,32,0.14,20,0
110-05756,6/10/13 18:45,34.27,37,38,0.79,30,100
110N04645,6/10/13 18:45,18.13,52,62,2.02,30,67.53
110+04131,6/10/13 18:45,39.8,36,47,0.01,30,100
110-04614,6/10/13 18:45,58.87,37,64,0.17,30,100
110-10237,6/10/13 18:45,26,26,32,0.14,20,0
110P04161,6/10/13 18:45,20.33,30,42,0.06,30,82.87
110+05755,6/10/13 18:45,27.93,18,34,0.47,30,100
110+04303,6/10/13 18:45,58.47,52,60,0.09,30,100
110+04614,6/10/13 18:45,20.13,32,62,0.43,30,100
110P04131,6/10/13 18:45,45.93,34,47,0.56,30,100
110-05754,6/10/13 18:45,32.8,26,36,0.4,30,100
110+05757,6/10/13 18:45,36.47,35,38,0.73,29.33,93.33
110N04161,6/10/13 18:45,45.67,44,47,0.03,30,91.27
110+10238,6/10/13 18:45,27.07,26,32,0.13,22.67,26.67
110P04645,6/10/13 18:45,64.33,48,61,0.75,30,100
110N04131,6/10/13 18:45,26.87,31,52,0.91,30,100
110N04645,6/10/13 19:00,31.07,57,62,1.18,30,61.53
110N04161,6/10/13 19:00,45.53,45,47,0.03,30,100
110-05756,6/10/13 19:00,30,36,38,0.9,30,76.8
110P04645,6/10/13 19:00,61.6,60,61,0.78,30,100
110+04131,6/10/13 19:00,44.2,43,47,0.01,30,100
110+10238,6/10/13 19:00,22,22,32,0.16,20,0
110-05754,6/10/13 19:00,34.4,29,36,0.38,30,100
110+05757,6/10/13 19:00,37.47,36,38,0.71,30,100
110-04614,6/10/13 19:00,64.8,52,64,0.15,30,81.47
110P04131,6/10/13 19:00,45.13,43,47,0.57,30,100
110+04303,6/10/13 19:00,56.8,58,60,0.09,24,40
110-10237,6/10/13 19:00,27,27,32,0.13,20,0
110N04131,6/10/13 19:00,26.2,41,52,0.93,30,95.93
110+04614,6/10/13 19:00,20.47,44,62,0.42,30,100
110P04161,6/10/13 19:00,36,37,42,0.04,30,57.47
110+05755,6/10/13 19:00,29.8,25,34,0.44,30,100
110+10238,6/10/13 19:15,22,22,32,0.16,20,0
110N04161,6/10/13 19:15,44.4,45,47,0.03,26,60
110+05757,6/10/13 19:15,36,36,38,0.74,22.67,26.67
110-10237,6/10/13 19:15,27,27,32,0.13,20,0
110+04131,6/10/13 19:15,46.47,43,47,0.01,30,100
110P04131,6/10/13 19:15,45.07,43,47,0.57,30,100
110+04303,6/10/13 19:15,56.4,58,60,0.09,26,60
110N04645,6/10/13 19:15,57.2,57,62,0.64,30,70.33
110P04645,6/10/13 19:15,64.33,60,61,0.75,30,100
110P04161,6/10/13 19:15,27.87,37,42,0.05,30,97.2
110N04131,6/10/13 19:15,40.93,41,52,0.6,30,98
110-05754,6/10/13 19:15,30.6,29,36,0.43,30,100
110+04614,6/10/13 19:15,21.8,44,62,0.4,30,100
110+05755,6/10/13 19:15,31.07,25,34,0.43,30,100
110-05756,6/10/13 19:15,47.87,36,38,0.56,30,67.2
110-04614,6/10/13 19:15,63.33,52,64,0.16,30,100
110N04131,6/10/13 19:30,46.93,41,52,0.52,30,100
110P04131,6/10/13 19:30,46,43,47,0.56,30,100
110+04614,6/10/13 19:30,22.13,44,62,0.39,30,86
110N04645,6/10/13 19:30,60.93,57,62,0.6,30,100
110+04131,6/10/13 19:30,46.73,43,47,0.01,30,100
110-05756,6/10/13 19:30,38.47,36,38,0.7,30,93.47
110P04645,6/10/13 19:30,64.13,60,61,0.75,30,100
110-10237,6/10/13 19:30,27,27,32,0.13,20,0
110+10238,6/10/13 19:30,22,22,32,0.16,20,0
110+05757,6/10/13 19:30,36.53,36,38,0.73,28,80
110-05754,6/10/13 19:30,33.87,29,36,0.39,30,95.67
110N04161,6/10/13 19:30,41.27,45,47,0.03,30,87.8
110+04303,6/10/13 19:30,56.93,58,60,0.09,28.67,86.67
110-04614,6/10/13 19:30,61.27,52,64,0.16,30,100
110P04161,6/10/13 19:30,37.4,37,42,0.03,30,100
110+05755,6/10/13 19:30,31.6,25,34,0.42,30,100
110+05755,6/10/13 19:45,28.33,25,34,0.47,30,100
110-05754,6/10/13 19:45,30,29,36,0.44,30,96.4
110+05757,6/10/13 19:45,36.4,36,38,0.73,30,100
110+10238,6/10/13 19:45,22,22,32,0.16,20,0
110N04645,6/10/13 19:45,59.27,57,62,0.62,30,100
110P04645,6/10/13 19:45,63.47,60,61,0.76,30,100
110+04614,6/10/13 19:45,38.87,44,62,0.22,30,41.33
110+04303,6/10/13 19:45,58,58,60,0.09,20,0
110N04131,6/10/13 19:45,46.13,41,52,0.53,30,98
110P04131,6/10/13 19:45,49.27,43,47,0.53,30,100
110N04161,6/10/13 19:45,45,45,47,0.03,30,100
110-10237,6/10/13 19:45,27,27,32,0.13,20,0
110-04614,6/10/13 19:45,60.93,52,64,0.16,30,100
110P04161,6/10/13 19:45,38.53,37,42,0.03,30,100
110-05756,6/10/13 19:45,34.47,36,38,0.78,30,100
110+04131,6/10/13 19:45,49.8,43,47,0.01,30,94.13
110-05754,6/10/13 20:00,30.87,30,36,0.43,30,84.67
110+04614,6/10/13 20:00,40.07,60,62,0.22,30,74.93
110P04161,6/10/13 20:00,38.4,38,42,0.03,28,80
110+05755,6/10/13 20:00,24.6,28,34,0.54,30,100
110+05757,6/10/13 20:00,37.13,36,38,0.72,30,100
110+10238,6/10/13 20:00,28,28,32,0.13,20,0
110N04645,6/10/13 20:00,58.93,59,62,0.62,30,95.8
110-10237,6/10/13 20:00,30,30,32,0.12,20,0
110+04131,6/10/13 20:00,46.53,44,47,0.01,30,99.2
110-05756,6/10/13 20:00,33.47,36,38,0.81,30,100
110P04645,6/10/13 20:00,62.73,60,61,0.77,30,100
110N04161,6/10/13 20:00,45.33,46,47,0.03,21.33,13.33
110N04131,6/10/13 20:00,43.8,50,52,0.56,30,93.53
110+04303,6/10/13 20:00,57,57,60,0.09,20,0
110-04614,6/10/13 20:00,57.93,61,64,0.17,30,100
110P04131,6/10/13 20:00,46.8,45,47,0.55,30,100
110N04645,6/10/13 20:15,56.4,59,62,0.65,30,91.2
110-05754,6/10/13 20:15,30.8,30,36,0.43,30,95.87
110+05757,6/10/13 20:15,35.47,36,38,0.75,28.67,86.67
110P04161,6/10/13 20:15,37.27,38,42,0.03,30,100
110-04614,6/10/13 20:15,57.13,61,64,0.17,30,93.53
110+04303,6/10/13 20:15,58.73,57,60,0.09,27.33,73.33
110-05756,6/10/13 20:15,32.87,36,38,0.82,30,89
110P04645,6/10/13 20:15,61.27,60,61,0.78,30,100
110N04161,6/10/13 20:15,38.07,46,47,0.04,30,72.33
110+10238,6/10/13 20:15,28,28,32,0.13,20,0
110N04131,6/10/13 20:15,47.33,50,52,0.51,30,100
110P04131,6/10/13 20:15,41.8,45,47,0.62,30,70.8
110+04614,6/10/13 20:15,40.8,60,62,0.21,30,77.67
110-10237,6/10/13 20:15,30,30,32,0.12,20,0
110+05755,6/10/13 20:15,26,28,34,0.51,30,100
110+04131,6/10/13 20:15,42.33,44,47,0.01,30,89.93
110+10238,6/10/13 20:30,28,28,32,0.13,20,0
110-04614,6/10/13 20:30,61,61,64,0.16,30,93.87
110P04645,6/10/13 20:30,58.13,60,61,0.83,30,100
110+04303,6/10/13 20:30,53,57,60,0.1,30,64.53
110-05756,6/10/13 20:30,30.67,36,38,0.88,30,85.6
110-10237,6/10/13 20:30,30,30,32,0.12,20,0
110+05755,6/10/13 20:30,23.4,28,34,0.56,30,80.87
110N04131,6/10/13 20:30,42.6,50,52,0.57,28.67,58.2
110+04131,6/10/13 20:30,37.07,44,47,0.01,30,66.27
110+04614,6/10/13 20:30,47.13,60,62,0.18,30,65.13
110P04131,6/10/13 20:30,38.4,45,47,0.67,30,52.13
110-05754,6/10/13 20:30,27,30,36,0.49,30,76.4
110N04645,6/10/13 20:30,51.8,59,62,0.71,30,57.53
110+05757,6/10/13 20:30,36,36,38,0.74,20,0
110N04161,6/10/13 20:30,39.07,46,47,0.04,30,72.2
110P04161,6/10/13 20:30,35.67,38,42,0.04,30,94.6
110-05756,6/10/13 20:45,32.8,36,38,0.82,30,96.67
110-10237,6/10/13 20:45,30,30,32,0.12,30,93.33
110-05754,6/10/13 20:45,31.67,30,36,0.42,30,76.07
110P04161,6/10/13 20:45,36.53,38,42,0.04,30,100
110+04303,6/10/13 20:45,51.73,57,60,0.1,24.67,30.2
110+04131,6/10/13 20:45,34.8,44,47,0.01,30,59.53
110+05755,6/10/13 20:45,24.67,28,34,0.54,30,93.47
110+10238,6/10/13 20:45,28,28,32,0.13,20,0
110N04131,6/10/13 20:45,44.27,50,52,0.55,30,87.27
110P04645,6/10/13 20:45,48.53,60,61,0.99,30,63.53
110P04131,6/10/13 20:45,37.2,45,47,0.7,30,77.67
110N04645,6/10/13 20:45,52.8,59,62,0.69,30,77.33
110N04161,6/10/13 20:45,41.8,46,47,0.03,30,94.87
110-04614,6/10/13 20:45,62.13,61,64,0.16,30,100
110+04614,6/10/13 20:45,54.33,60,62,0.16,30,98.33
110+05757,6/10/13 20:45,36,36,38,0.74,20,0
110+05755,6/10/13 21:00,28.67,27,34,0.46,30,99.6
110+04614,6/10/13 21:00,58.4,60,62,0.15,30,100
110-05754,6/10/13 21:00,34.47,30,36,0.38,30,100
110+04303,6/10/13 21:00,58,58,60,0.09,20,0
110N04161,6/10/13 21:00,38.07,45,47,0.04,30,94.67
110N04645,6/10/13 21:00,59.93,57,62,0.61,30,100
110+05757,6/10/13 21:00,36.8,36,38,0.72,28,80
110P04131,6/10/13 21:00,44.2,46,47,0.59,30,100
110+10238,6/10/13 21:00,29,29,32,0.12,20,0
110-05756,6/10/13 21:00,36,36,38,0.75,30,100
110-10237,6/10/13 21:00,29.2,29,32,0.12,22,20
110N04131,6/10/13 21:00,40.33,50,52,0.6,30,73.4
110-04614,6/10/13 21:00,60.2,62,64,0.17,30,94.8
110P04645,6/10/13 21:00,58.27,61,61,0.82,30,100
110+04131,6/10/13 21:00,41.87,45,47,0.01,30,89.07
110P04161,6/10/13 21:00,38.8,38,42,0.03,30,100
110-10237,6/10/13 21:15,29,29,32,0.12,20,0
110+04614,6/10/13 21:15,59.53,60,62,0.15,30,100
110P04161,6/10/13 21:15,38,38,42,0.03,30,100
110-04614,6/10/13 21:15,62.33,62,64,0.16,30,100
110N04161,6/10/13 21:15,42.53,45,47,0.03,30,100
110-05754,6/10/13 21:15,33.13,30,36,0.4,30,100
110+05757,6/10/13 21:15,37,36,38,0.72,30,100
110N04131,6/10/13 21:15,47.4,50,52,0.51,30,99.47
110-05756,6/10/13 21:15,36.6,36,38,0.74,30,100
110P04131,6/10/13 21:15,48,46,47,0.54,30,100
110+10238,6/10/13 21:15,29,29,32,0.12,20,0
110+04131,6/10/13 21:15,47.2,45,47,0.01,30,100
110N04645,6/10/13 21:15,60.07,57,62,0.61,30,100
110P04645,6/10/13 21:15,60.27,61,61,0.8,30,100
110+04303,6/10/13 21:15,58,58,60,0.09,20,0
110+05755,6/10/13 21:15,27.2,27,34,0.49,30,83
110+04303,6/10/13 21:30,58,58,60,0.09,20,0
110N04645,6/10/13 21:30,59,57,62,0.62,30,100
110P04645,6/10/13 21:30,59.4,61,61,0.81,30,100
110N04131,6/10/13 21:30,47.53,50,52,0.51,30,100
110N04161,6/10/13 21:30,40.13,45,47,0.04,30,90.6
110-10237,6/10/13 21:30,29,29,32,0.12,20,0
110+04131,6/10/13 21:30,43.47,45,47,0.01,30,100
110-05756,6/10/13 21:30,36,36,38,0.75,30,100
110P04131,6/10/13 21:30,44.47,46,47,0.58,30,100
110+04614,6/10/13 21:30,59.13,60,62,0.15,30,97.13
110-04614,6/10/13 21:30,62.8,62,64,0.16,30,100
110-05754,6/10/13 21:30,33,30,36,0.4,30,100
110+05757,6/10/13 21:30,36.6,36,38,0.73,28.67,86.67
110+10238,6/10/13 21:30,29,29,32,0.12,20,0
110P04161,6/10/13 21:30,38.87,38,42,0.03,30,100
110+05755,6/10/13 21:30,24.67,27,34,0.54,30,74.53
110-10237,6/10/13 21:45,29,29,32,0.12,20,0
110P04161,6/10/13 21:45,39,38,42,0.03,30,100
110N04161,6/10/13 21:45,38.33,45,47,0.04,30,83.2
110N04131,6/10/13 21:45,45.47,50,52,0.54,30,97.8
110+04614,6/10/13 21:45,60.07,60,62,0.14,30,100
110+04131,6/10/13 21:45,41.27,45,47,0.01,30,100
110+05755,6/10/13 21:45,29.67,27,34,0.45,30,100
110P04131,6/10/13 21:45,42.67,46,47,0.61,30,100
110+04303,6/10/13 21:45,58,58,60,0.09,20,0
110-05754,6/10/13 21:45,33,30,36,0.4,30,100
110N04645,6/10/13 21:45,56.47,57,62,0.65,30,100
110P04645,6/10/13 21:45,61.67,61,61,0.78,30,100
110-04614,6/10/13 21:45,63,62,64,0.16,30,100
110+05757,6/10/13 21:45,33.33,36,38,0.8,30,85.8
110-05756,6/10/13 21:45,31.53,36,38,0.85,30,92.27
110+10238,6/10/13 21:45,29,29,32,0.12,20,0
110-05756,6/10/13 22:00,38.27,38,38,0.7,22,46.87
110+04131,6/10/13 22:00,47.13,47,47,0.01,26,59.8
110P04645,6/10/13 22:00,60.67,61,61,0.79,30,98.47
110-10237,6/10/13 22:00,32,32,32,0.11,10,0
110+04303,6/10/13 22:00,60,60,60,0.09,10,0
110N04131,6/10/13 22:00,47,52,52,0.52,28.67,86.6
110-04614,6/10/13 22:00,61.33,64,64,0.16,30,92.87
110+04614,6/10/13 22:00,59,62,62,0.15,26,76.6
110P04131,6/10/13 22:00,48.47,47,47,0.53,26,53.47
110N04645,6/10/13 22:00,60.87,62,62,0.6,22,55.53
110+05755,6/10/13 22:00,32.2,34,34,0.41,14,13.67
110+10238,6/10/13 22:00,32,32,32,0.11,10,0
110P04161,6/10/13 22:00,41.6,42,42,0.03,12.67,13.33
110-05754,6/10/13 22:00,31.53,36,36,0.42,22,45.47
110+05757,6/10/13 22:00,36.47,38,38,0.73,16.67,25.67
110N04161,6/10/13 22:00,39.07,47,47,0.04,27.33,77.87
110P04645,6/10/13 22:15,63.2,61,61,0.76,30,92.13
110P04131,6/10/13 22:15,46.8,47,47,0.55,30,90.93
110-04614,6/10/13 22:15,62,64,64,0.16,30,99.13
110+04303,6/10/13 22:15,59.47,60,60,0.09,12.67,13.33
110-05756,6/10/13 22:15,38.6,38,38,0.7,23.33,50.07
110N04161,6/10/13 22:15,42,47,47,0.03,19.33,44.67
110+04131,6/10/13 22:15,48.8,47,47,0.01,30,86.07
110N04645,6/10/13 22:15,62.73,62,62,0.58,30,73.27
110-05754,6/10/13 22:15,34.6,36,36,0.38,19.33,45.73
110+05757,6/10/13 22:15,38,38,38,0.7,10,0
110+10238,6/10/13 22:15,32,32,32,0.11,10,0
110+04614,6/10/13 22:15,59.8,62,62,0.14,30,91.53
110P04161,6/10/13 22:15,42,42,42,0.03,10,0
110+05755,6/10/13 22:15,22,34,34,0.6,24.67,26.4
110-10237,6/10/13 22:15,32,32,32,0.11,10,0
110N04131,6/10/13 22:15,49.27,52,52,0.49,30,86.2
110N04161,6/10/13 22:30,47,47,47,0.03,10,0
110+05757,6/10/13 22:30,38,38,38,0.7,10,0
110+10238,6/10/13 22:30,32,32,32,0.11,10,0
110-10237,6/10/13 22:30,32,32,32,0.11,10,0
110P04131,6/10/13 22:30,45.8,47,47,0.57,30,92.87
110-04614,6/10/13 22:30,62.87,64,64,0.16,30,95.67
110N04645,6/10/13 22:30,59,62,62,0.62,30,98.2
110P04645,6/10/13 22:30,61.27,61,61,0.78,30,99.27
110+04614,6/10/13 22:30,62.73,62,62,0.14,30,83.87
110+04131,6/10/13 22:30,48.6,47,47,0.01,26,77.67
110-05756,6/10/13 22:30,36.27,38,38,0.74,30,100
110-05754,6/10/13 22:30,36,36,36,0.37,10,0
110N04131,6/10/13 22:30,43.27,52,52,0.56,30,64.2
110+05755,6/10/13 22:30,26.13,34,34,0.51,30,72.4
110+04303,6/10/13 22:30,53.53,60,60,0.1,30,95.47
110P04161,6/10/13 22:30,38.73,42,42,0.03,30,65.53
110N04161,6/10/13 22:45,47,47,47,0.03,10,0
110-05756,6/10/13 22:45,36.6,38,38,0.74,24.67,70.8
110P04645,6/10/13 22:45,62.4,61,61,0.77,30,99.2
110+04614,6/10/13 22:45,65,62,62,0.13,27.33,56.87
110P04161,6/10/13 22:45,42.8,42,42,0.03,14,9.6
110N04645,6/10/13 22:45,61.4,62,62,0.6,14,19.6
110+05755,6/10/13 22:45,31.27,34,34,0.42,30,52.27
110+05757,6/10/13 22:45,38,38,38,0.7,11.33,0
110-04614,6/10/13 22:45,66.73,64,64,0.15,30,71.53
110-05754,6/10/13 22:45,36,36,36,0.37,10,0
110P04131,6/10/13 22:45,50.6,47,47,0.51,30,81.67
110-10237,6/10/13 22:45,32,32,32,0.11,10,0
110N04131,6/10/13 22:45,50,52,52,0.49,30,83
110+04303,6/10/13 22:45,58.6,60,60,0.09,14,18.4
110+10238,6/10/13 22:45,32,32,32,0.11,10,0
110+04131,6/10/13 22:45,52.8,47,47,0.01,30,78.33
110P04645,6/10/13 23:00,61,61,61,0.79,30,98.33
110-10237,6/10/13 23:00,32,32,32,0.11,10,0
110-04614,6/10/13 23:00,65.2,64,64,0.15,30,96.07
110P04131,6/10/13 23:00,44.8,47,47,0.58,30,81.27
110+05755,6/10/13 23:00,29.47,34,34,0.45,30,84.53
110P04161,6/10/13 23:00,42,42,42,0.03,10,0
110+04303,6/10/13 23:00,58.47,60,60,0.09,27.33,78.8
110+04131,6/10/13 23:00,49,47,47,0.01,18,39.47
110N04161,6/10/13 23:00,43.67,47,47,0.03,23.33,54.93
110N04131,6/10/13 23:00,45.93,52,52,0.53,28.67,67.53
110-05756,6/10/13 23:00,38,38,38,0.71,10,0
110+10238,6/10/13 23:00,32,32,32,0.11,10,0
110+05757,6/10/13 23:00,38,38,38,0.7,18,40
110-05754,6/10/13 23:00,31.87,36,36,0.41,24.67,40.47
110N04645,6/10/13 23:00,61.8,62,62,0.59,16.67,31.93
110+04614,6/10/13 23:00,66.93,62,62,0.13,27.33,68.2
110+04614,6/10/13 23:15,63.93,62,62,0.14,30,90.67
110N04645,6/10/13 23:15,59.87,62,62,0.61,30,94.07
110+04303,6/10/13 23:15,58,60,60,0.09,30,96.93
110N04161,6/10/13 23:15,43.87,47,47,0.03,30,92.8
110P04645,6/10/13 23:15,63.2,61,61,0.76,30,95.33
110-05756,6/10/13 23:15,38,38,38,0.71,10,0
110-10237,6/10/13 23:15,32,32,32,0.11,10,0
110P04131,6/10/13 23:15,48.2,47,47,0.54,30,95.13
110P04161,6/10/13 23:15,40.67,42,42,0.03,20.67,47.07
110+05755,6/10/13 23:15,30.4,34,34,0.43,30,96.07
110-04614,6/10/13 23:15,65.2,64,64,0.15,30,90.53
110+04131,6/10/13 23:15,49.93,47,47,0.01,27.33,86.13
110+10238,6/10/13 23:15,32,32,32,0.11,10,0
110N04131,6/10/13 23:15,41,52,52,0.59,30,53.93
110+05757,6/10/13 23:15,38,38,38,0.7,10,0
110-05754,6/10/13 23:15,35.27,36,36,0.37,30,80.67
110+04131,6/10/13 23:30,44.8,47,47,0.01,30,57.4
110P04131,6/10/13 23:30,46.13,47,47,0.56,27.33,79.53
110N04161,6/10/13 23:30,45.2,47,47,0.03,22,59.53
110-04614,6/10/13 23:30,62.4,64,64,0.16,30,81.07
110P04161,6/10/13 23:30,38.8,42,42,0.03,26,78.8
110+04614,6/10/13 23:30,62.13,62,62,0.14,30,84.73
