"System","Agency","Standardized Type","Agency-specific Type","Location","County","Latitude","Longitude","Open/Closed","Time Opened","Time Closed","Duration","Operator Notes","Notifications Sent","Responders","VMS Used","Vehicles Involved","Max Lanes Closed"
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-395N north @ MM 4.000","Alexandria (City)","38.826454","-77.120224","Closed","9/25/14 6:37 AM","9/25/14 7:15 AM","37 minutes","","","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 158.000","Prince William","38.642685","-77.2877","Closed","9/25/14 5:36 AM","9/25/14 6:15 AM","39 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 64.000","Fairfax (County)","38.881332","-77.234055","Closed","9/25/14 5:24 AM","9/25/14 5:50 AM","26 minutes","","","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 156.000","Prince William","38.61404","-77.30099","Closed","9/25/14 4:58 AM","9/25/14 5:32 AM","33 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 159.300","Prince William","38.66049","-77.27785","Closed","9/25/14 5:59 AM","9/25/14 6:33 AM","34 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 158.500","Prince William","38.649982","-77.28296","Closed","9/25/14 4:45 AM","9/25/14 5:18 AM","32 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 40.700","Prince William","38.815502","-77.6352","Closed","9/25/14 4:16 AM","9/25/14 4:26 AM","10 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 64.700","Fairfax (County)","38.885098","-77.221985","Closed","9/25/14 5:58 AM","9/25/14 6:09 AM","10 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 144.000","Stafford","38.46581","-77.4078","Closed","9/25/14 6:58 AM","9/25/14 8:38 AM","1 hour 40 minutes","","","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-495N north @ MM 54.000","Fairfax (County)","38.810787","-77.217316","Closed","9/25/14 8:19 AM","9/25/14 8:34 AM","14 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 163.700","Fairfax (County)","38.691658","-77.22701","Closed","9/25/14 10:02 AM","9/25/14 10:16 AM","14 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66E east @ MM 56.700","Fairfax (County)","38.858288","-77.36673","Closed","9/25/14 8:21 AM","9/25/14 10:22 AM","2 hours","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 138.300","Stafford","38.39304","-77.438965","Closed","9/25/14 10:55 AM","9/25/14 11:00 AM","5 minutes","","","1","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 133.000","Stafford","38.333614","-77.49792","Closed","9/25/14 7:15 AM","9/25/14 8:21 AM","1 hour 6 minutes","","","","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","On Braddock Road East at Shirley Gate Road east","Fairfax (County)","38.83385","-77.3449","Closed","9/25/14 7:28 AM","9/25/14 8:07 AM","38 minutes","","","","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95R north @ MM 161.500","Fairfax (County)","38.67381","-77.24065","Closed","9/25/14 10:19 AM","9/25/14 10:33 AM","13 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 157.000","Prince William","38.629627","-77.292145","Closed","9/25/14 9:09 AM","9/25/14 9:20 AM","11 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 120.000","Spotsylvania","38.151318","-77.50615","Closed","9/25/14 9:15 AM","9/25/14 9:18 AM","2 minutes","","","","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-66W west @ MM 53.900","Fairfax (County)","38.848923","-77.420044","Closed","9/25/14 9:13 AM","9/25/14 10:25 AM","1 hour 11 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 164.000","Fairfax (County)","38.696983","-77.22597","Closed","9/25/14 8:07 AM","9/25/14 8:14 AM","6 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 124.400","Spotsylvania","38.2145","-77.498024","Closed","9/25/14 9:21 AM","9/25/14 9:29 AM","8 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 120.600","Spotsylvania","38.160057","-77.5071","Closed","9/25/14 9:05 AM","9/25/14 9:19 AM","13 minutes","","","","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95N north @ MM 173.000","Fairfax (County)","38.796776","-77.13199","Closed","9/25/14 8:55 AM","9/25/14 9:14 AM","18 minutes","","","0","","",""
"VDOT NOVA","VADOT","Disabled Vehicle","incident","I-95S south @ MM 160.000","Prince William","38.66803","-77.269066","Closed","9/25/14 8:55 AM","9/25/14 9:17 AM","21 minutes","","","0","","",""
"VDOT NOVA","VADOT","Incident","incident","I-95S south @ MM 167.000","Fairfax (County)","38.743645","-77.188194","Closed","9/25/14 7:34 AM","9/25/14 7:43 AM","8 minutes","","1","1","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-495N north @ MM 44.000","Fairfax (County)","38.94876","-77.1998","Closed","9/25/14 8:08 AM","9/25/14 11:34 AM","3 hours 26 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-95N north @ MM 170.000","Fairfax (County)","38.78178","-77.17929","Closed","9/25/14 7:15 AM","9/25/14 10:25 AM","3 hours 10 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-395N north @ MM 8.000","Arlington","38.86403","-77.06851","Closed","9/25/14 7:13 AM","9/25/14 9:54 AM","2 hours 40 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-395N north @ MM 5.400","Arlington","38.834915","-77.096436","Closed","9/25/14 6:34 AM","9/25/14 9:32 AM","2 hours 57 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-66 west","Arlington","38.891537","-77.0669","Closed","9/25/14 8:35 AM","9/25/14 9:53 AM","1 hour 17 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-95N north @ MM 161.000","Prince William","38.671055","-77.24917","Closed","9/25/14 6:35 AM","9/25/14 8:07 AM","1 hour 32 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-495N north @ MM 52.000","Fairfax (County)","38.838673","-77.218735","Closed","9/25/14 6:45 AM","9/25/14 10:47 AM","4 hours 2 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-395N north @ MM 2.400","Fairfax (County)","38.812977","-77.14419","Closed","9/25/14 6:08 AM","9/25/14 9:54 AM","3 hours 46 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-66E east @ MM 56.000","Fairfax (County)","38.85591","-77.379486","Closed","9/25/14 6:05 AM","9/25/14 8:55 AM","2 hours 49 minutes","","","","","",""
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-395 north","Arlington","38.873123","-77.043175","Closed","9/25/14 7:05 AM","9/25/14 10:29 AM","3 hours 24 minutes","","","","","",""
