"timekey","glare","glarepotential","traffic_timestamp","tmc_crossing","avg"
"110","f","TruePM","2013-10-01 18:10:00","Memorial","35"
"110","f","TruePM","2013-10-01 18:10:00","Roosevelt","37.5"
"111","f","TruePM","2013-10-01 18:20:00","14th_HOV","45.5"
"111","f","TruePM","2013-10-01 18:20:00","14th_Main","29.75"
"111","f","TruePM","2013-10-01 18:20:00","Chain","28.3333333333333"
"111","f","TruePM","2013-10-01 18:20:00","Key","20.5"
"111","f","TruePM","2013-10-01 18:20:00","Memorial","35"
"111","f","TruePM","2013-10-01 18:20:00","Roosevelt","37.5"
"112","f","TruePM","2013-10-01 18:30:00","14th_HOV","45.5"
"112","f","TruePM","2013-10-01 18:30:00","14th_Main","29.75"
"112","f","TruePM","2013-10-01 18:30:00","Chain","28.3333333333333"
"112","f","TruePM","2013-10-01 18:30:00","Key","20.5"
"112","f","TruePM","2013-10-01 18:30:00","Memorial","35"
"112","f","TruePM","2013-10-01 18:30:00","Roosevelt","37.5"
"113","f","TruePM","2013-10-01 18:40:00","14th_HOV","45.5"
"113","f","TruePM","2013-10-01 18:40:00","14th_Main","29.75"
"113","f","TruePM","2013-10-01 18:40:00","Chain","28.3333333333333"
"113","f","TruePM","2013-10-01 18:40:00","Key","20.5"
"113","f","TruePM","2013-10-01 18:40:00","Memorial","35"
"113","f","TruePM","2013-10-01 18:40:00","Roosevelt","37.5"
"114","f","TruePM","2013-10-01 18:50:00","14th_HOV","45.5"
"114","f","TruePM","2013-10-01 18:50:00","14th_Main","29.75"
"114","f","TruePM","2013-10-01 18:50:00","Chain","28.3333333333333"
"114","f","TruePM","2013-10-01 18:50:00","Key","20.5"
"114","f","TruePM","2013-10-01 18:50:00","Memorial","35"
"114","f","TruePM","2013-10-01 18:50:00","Roosevelt","37.5"
"188","f","TrueAM","2013-10-02 07:10:00","14th_HOV","44"
"188","f","TrueAM","2013-10-02 07:10:00","14th_Main","37.875"
"188","f","TrueAM","2013-10-02 07:10:00","Chain","30.6666666666667"
"188","f","TrueAM","2013-10-02 07:10:00","Key","28"
"188","f","TrueAM","2013-10-02 07:10:00","Memorial","37.5"
"188","f","TrueAM","2013-10-02 07:10:00","Roosevelt","41"
"189","f","TrueAM","2013-10-02 07:20:00","14th_HOV","44"
"189","f","TrueAM","2013-10-02 07:20:00","14th_Main","37.875"
"189","f","TrueAM","2013-10-02 07:20:00","Chain","30.6666666666667"
"189","f","TrueAM","2013-10-02 07:20:00","Key","28"
"189","f","TrueAM","2013-10-02 07:20:00","Memorial","37.5"
"189","f","TrueAM","2013-10-02 07:20:00","Roosevelt","41"
"190","f","TrueAM","2013-10-02 07:30:00","14th_HOV","44"
"190","f","TrueAM","2013-10-02 07:30:00","14th_Main","37.875"
"190","f","TrueAM","2013-10-02 07:30:00","Chain","30.6666666666667"
"190","f","TrueAM","2013-10-02 07:30:00","Key","28"
"190","f","TrueAM","2013-10-02 07:30:00","Memorial","37.5"
"190","f","TrueAM","2013-10-02 07:30:00","Roosevelt","41"
"191","f","TrueAM","2013-10-02 07:40:00","14th_HOV","44"
"191","f","TrueAM","2013-10-02 07:40:00","14th_Main","37.875"
"191","f","TrueAM","2013-10-02 07:40:00","Chain","30.6666666666667"
"191","f","TrueAM","2013-10-02 07:40:00","Key","28"
"191","f","TrueAM","2013-10-02 07:40:00","Memorial","37.5"
"191","f","TrueAM","2013-10-02 07:40:00","Roosevelt","41"
"192","f","TrueAM","2013-10-02 07:50:00","14th_HOV","44"
"192","f","TrueAM","2013-10-02 07:50:00","14th_Main","37.875"
"192","f","TrueAM","2013-10-02 07:50:00","Chain","30.6666666666667"
"192","f","TrueAM","2013-10-02 07:50:00","Key","28"
"192","f","TrueAM","2013-10-02 07:50:00","Memorial","37.5"
"192","f","TrueAM","2013-10-02 07:50:00","Roosevelt","41"
"193","f","TrueAM","2013-10-02 08:00:00","14th_HOV","39.75"
"193","f","TrueAM","2013-10-02 08:00:00","14th_Main","32.25"
"193","f","TrueAM","2013-10-02 08:00:00","Chain","26.3333333333333"
"193","f","TrueAM","2013-10-02 08:00:00","Key","21.5"
"193","f","TrueAM","2013-10-02 08:00:00","Memorial","36"
"193","f","TrueAM","2013-10-02 08:00:00","Roosevelt","33.25"
"194","f","TrueAM","2013-10-02 08:10:00","14th_HOV","39.75"
"194","f","TrueAM","2013-10-02 08:10:00","14th_Main","32.25"
"194","f","TrueAM","2013-10-02 08:10:00","Chain","26.3333333333333"
"194","f","TrueAM","2013-10-02 08:10:00","Key","21.5"
"194","f","TrueAM","2013-10-02 08:10:00","Memorial","36"
"194","f","TrueAM","2013-10-02 08:10:00","Roosevelt","33.25"
"195","f","TrueAM","2013-10-02 08:20:00","14th_HOV","39.75"
"195","f","TrueAM","2013-10-02 08:20:00","14th_Main","32.25"
"195","f","TrueAM","2013-10-02 08:20:00","Chain","26.3333333333333"
"195","f","TrueAM","2013-10-02 08:20:00","Key","21.5"
"195","f","TrueAM","2013-10-02 08:20:00","Memorial","36"
"195","f","TrueAM","2013-10-02 08:20:00","Roosevelt","33.25"
"196","f","TrueAM","2013-10-02 08:30:00","14th_HOV","39.75"
"196","f","TrueAM","2013-10-02 08:30:00","14th_Main","32.25"
"196","f","TrueAM","2013-10-02 08:30:00","Chain","26.3333333333333"
"196","f","TrueAM","2013-10-02 08:30:00","Key","21.5"
"196","f","TrueAM","2013-10-02 08:30:00","Memorial","36"
"196","f","TrueAM","2013-10-02 08:30:00","Roosevelt","33.25"
"249","f","TruePM","2013-10-02 17:20:00","14th_HOV","47.25"
"249","f","TruePM","2013-10-02 17:20:00","14th_Main","28.75"
"249","f","TruePM","2013-10-02 17:20:00","Chain","30.3333333333333"
"249","f","TruePM","2013-10-02 17:20:00","Key","24"
"249","f","TruePM","2013-10-02 17:20:00","Memorial","35.5"
"249","f","TruePM","2013-10-02 17:20:00","Roosevelt","40.25"
"250","f","TruePM","2013-10-02 17:30:00","14th_HOV","47.25"
