Standardized Location,Location,Type,Start Time,Date,Time,Bucket Time,End Time,Duration (minutes),Latitude,Longitude,MM Matches,In/Out
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,10/31/13 7:20,10/31/13,7:20:00 AM,7:20:00 AM,10/31/13 9:34,152,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/7/13 7:43,11/7/13,7:43:00 AM,7:40:00 AM,11/7/13 10:31,190,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/1/13 6:28,11/1/13,6:28:00 AM,6:30:00 AM,11/1/13 7:01,37,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/1/13 7:44,11/1/13,7:44:00 AM,7:40:00 AM,11/1/13 8:31,53,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/1/13 8:18,11/1/13,8:18:00 AM,8:20:00 AM,11/1/13 8:29,12,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/1/13 8:32,11/1/13,8:32:00 AM,8:30:00 AM,11/1/13 9:45,83,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/1/13 8:42,11/1/13,8:42:00 AM,8:40:00 AM,11/1/13 9:45,71,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/6/13 6:40,11/6/13,6:40:00 AM,6:40:00 AM,11/6/13 10:00,227,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/3/13 8:18,10/3/13,8:18:00 AM,8:20:00 AM,10/3/13 9:09,58,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/5/13 7:29,11/5/13,7:29:00 AM,7:30:00 AM,11/5/13 10:09,181,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/1/13 14:25,11/1/13,2:25:00 AM,2:30:00 AM,11/1/13 16:10,119,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/1/13 18:23,11/1/13,6:23:00 AM,6:20:00 AM,11/1/13 18:44,24,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/1/13 16:41,10/1/13,4:41:00 AM,4:40:00 AM,10/1/13 18:01,91,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/2/13 7:46,10/2/13,7:46:00 AM,7:50:00 AM,10/2/13 9:37,126,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/1/13 6:42,10/1/13,6:42:00 AM,6:40:00 AM,10/1/13 10:13,239,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/4/13 8:15,11/4/13,8:15:00 AM,8:20:00 AM,11/4/13 9:14,67,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/2/13 17:49,11/2/13,5:49:00 AM,5:50:00 AM,11/2/13 18:24,40,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/31/14 15:41,3/31/14,3:41:00 AM,3:40:00 AM,3/31/14 16:33,59,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/31/14 8:03,3/31/14,8:03:00 AM,8:00:00 AM,3/31/14 9:38,108,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/29/14 1:15,3/29/14,1:15:00 AM,1:20:00 AM,3/29/14 1:23,9,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/28/14 17:44,3/28/14,5:44:00 AM,5:40:00 AM,3/28/14 18:01,19,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/28/14 11:38,3/28/14,11:38:00 AM,11:40:00 AM,3/28/14 12:42,73,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/28/14 8:13,3/28/14,8:13:00 AM,8:10:00 AM,3/28/14 10:21,145,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/27/14 17:40,3/27/14,5:40:00 AM,5:40:00 AM,3/27/14 18:08,32,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Disabled Vehicle,3/27/14 11:53,3/27/14,11:53:00 AM,11:50:00 AM,3/27/14 12:33,45,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,3/27/14 10:01,3/27/14,10:01:00 AM,10:00:00 AM,3/27/14 10:23,25,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/27/14 7:11,3/27/14,7:11:00 AM,7:10:00 AM,3/27/14 10:24,219,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,3/27/14 6:54,3/27/14,6:54:00 AM,6:50:00 AM,3/27/14 7:09,17,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,3/26/14 7:40,3/26/14,7:40:00 AM,7:40:00 AM,3/26/14 10:34,197,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,3/26/14 6:46,3/26/14,6:46:00 AM,6:50:00 AM,3/26/14 7:40,61,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,3/25/14 20:14,3/25/14,8:14:00 AM,8:10:00 AM,3/25/14 20:24,11,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,3/25/14 13:10,3/25/14,1:10:00 AM,1:10:00 AM,3/25/14 14:37,99,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/25/14 7:55,3/25/14,7:55:00 AM,8:00:00 AM,3/25/14 10:01,143,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/24/14 7:48,3/24/14,7:48:00 AM,7:50:00 AM,3/24/14 9:49,137,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/20/14 16:09,3/20/14,4:09:00 AM,4:10:00 AM,3/20/14 18:53,186,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/20/14 14:54,3/20/14,2:54:00 AM,2:50:00 AM,3/20/14 15:34,45,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,3/20/14 8:16,3/20/14,8:16:00 AM,8:20:00 AM,3/20/14 10:19,139,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/20/14 7:26,3/20/14,7:26:00 AM,7:30:00 AM,3/20/14 8:14,54,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/19/14 17:22,3/19/14,5:22:00 AM,5:20:00 AM,3/19/14 19:16,129,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/19/14 7:33,3/19/14,7:33:00 AM,7:30:00 AM,3/19/14 10:23,193,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/18/14 17:42,3/18/14,5:42:00 AM,5:40:00 AM,3/18/14 19:19,110,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,3/17/14 23:05,3/17/14,11:05:00 AM,11:10:00 AM,3/18/14 0:35,102,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,3/17/14 18:42,3/17/14,6:42:00 AM,6:40:00 AM,3/17/14 19:45,71,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/17/14 11:38,3/17/14,11:38:00 AM,11:40:00 AM,3/17/14 12:50,82,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 south,Collision,3/14/14 21:20,3/14/14,9:20:00 AM,9:20:00 AM,3/14/14 21:35,17,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,3/14/14 16:47,3/14/14,4:47:00 AM,4:50:00 AM,3/14/14 18:11,95,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/14/14 14:37,3/14/14,2:37:00 AM,2:40:00 AM,3/14/14 15:46,78,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/14/14 14:35,3/14/14,2:35:00 AM,2:40:00 AM,3/14/14 15:35,68,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,3/14/14 9:05,3/14/14,9:05:00 AM,9:10:00 AM,3/14/14 10:06,69,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/14/14 8:47,3/14/14,8:47:00 AM,8:50:00 AM,3/14/14 9:33,52,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,3/13/14 21:45,3/13/14,9:45:00 AM,9:50:00 AM,3/13/14 22:25,45,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/13/14 7:02,3/13/14,7:02:00 AM,7:00:00 AM,3/13/14 10:23,228,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/13/14 6:02,3/13/14,6:02:00 AM,6:00:00 AM,3/13/14 7:12,79,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,3/12/14 17:26,3/12/14,5:26:00 AM,5:30:00 AM,3/12/14 17:55,33,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/12/14 6:55,3/12/14,6:55:00 AM,7:00:00 AM,3/12/14 7:25,34,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/12/14 6:53,3/12/14,6:53:00 AM,6:50:00 AM,3/12/14 10:03,215,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/11/14 7:34,3/11/14,7:34:00 AM,7:30:00 AM,3/11/14 10:06,172,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/10/14 17:26,3/10/14,5:26:00 AM,5:30:00 AM,3/10/14 18:49,94,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,3/10/14 7:14,3/10/14,7:14:00 AM,7:10:00 AM,3/10/14 9:52,179,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/10/14 6:52,3/10/14,6:52:00 AM,6:50:00 AM,3/10/14 10:03,216,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/7/14 19:11,3/7/14,7:11:00 AM,7:10:00 AM,3/7/14 19:42,35,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/7/14 15:38,3/7/14,3:38:00 AM,3:40:00 AM,3/7/14 16:35,65,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/7/14 7:46,3/7/14,7:46:00 AM,7:50:00 AM,3/7/14 9:44,134,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,3/7/14 6:02,3/7/14,6:02:00 AM,6:00:00 AM,3/7/14 6:32,34,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,3/7/14 0:02,3/7/14,12:02:00 PM,12:00:00 PM,3/7/14 0:30,32,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,3/6/14 19:54,3/6/14,7:54:00 AM,7:50:00 AM,3/6/14 20:32,43,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Collision,3/6/14 19:02,3/6/14,7:02:00 AM,7:00:00 AM,3/6/14 19:22,23,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,3/6/14 6:32,3/6/14,6:32:00 AM,6:30:00 AM,3/6/14 10:28,267,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/5/14 18:31,3/5/14,6:31:00 AM,6:30:00 AM,3/5/14 19:03,36,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,3/5/14 8:03,3/5/14,8:03:00 AM,8:00:00 AM,3/5/14 10:21,156,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,3/5/14 6:48,3/5/14,6:48:00 AM,6:50:00 AM,3/5/14 8:03,85,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Disabled Vehicle,3/4/14 9:22,3/4/14,9:22:00 AM,9:20:00 AM,3/4/14 9:48,29,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,3/4/14 8:54,3/4/14,8:54:00 AM,8:50:00 AM,3/4/14 10:08,84,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,3/3/14 10:46,3/3/14,10:46:00 AM,10:50:00 AM,3/3/14 11:18,36,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,3/1/14 19:26,3/1/14,7:26:00 AM,7:30:00 AM,3/1/14 20:03,42,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,2/28/14 8:03,2/28/14,8:03:00 AM,8:00:00 AM,2/28/14 10:02,135,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,2/28/14 6:27,2/28/14,6:27:00 AM,6:30:00 AM,2/28/14 7:59,104,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,2/27/14 8:36,2/27/14,8:36:00 AM,8:40:00 AM,2/27/14 11:09,173,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,2/26/14 10:02,2/26/14,10:02:00 AM,10:00:00 AM,2/26/14 10:49,53,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/26/14 6:54,2/26/14,6:54:00 AM,6:50:00 AM,2/26/14 10:28,243,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/25/14 7:28,2/25/14,7:28:00 AM,7:30:00 AM,2/25/14 10:13,187,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,2/24/14 8:35,2/24/14,8:35:00 AM,8:40:00 AM,2/24/14 8:58,26,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/24/14 8:13,2/24/14,8:13:00 AM,8:10:00 AM,2/24/14 10:14,137,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,2/23/14 19:24,2/23/14,7:24:00 AM,7:20:00 AM,2/23/14 20:03,44,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,2/23/14 0:33,2/23/14,12:33:00 PM,12:30:00 PM,2/23/14 1:25,59,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/22/14 15:00,2/22/14,3:00:00 AM,3:00:00 AM,2/22/14 15:58,66,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/21/14 17:07,2/21/14,5:07:00 AM,5:10:00 AM,2/21/14 18:28,92,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/21/14 7:54,2/21/14,7:54:00 AM,7:50:00 AM,2/21/14 9:21,99,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 south,Traffic Congestion,2/20/14 8:27,2/20/14,8:27:00 AM,8:30:00 AM,2/20/14 9:55,100,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395 north,Disabled Vehicle,2/19/14 22:19,2/19/14,10:19:00 AM,10:20:00 AM,2/19/14 22:47,32,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/19/14 8:12,2/19/14,8:12:00 AM,8:10:00 AM,2/19/14 11:25,219,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,2/19/14 7:55,2/19/14,7:55:00 AM,8:00:00 AM,2/19/14 8:12,19,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/18/14 17:47,2/18/14,5:47:00 AM,5:50:00 AM,2/18/14 19:51,141,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/17/14 15:55,2/17/14,3:55:00 AM,4:00:00 AM,2/17/14 17:00,74,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,2/15/14 0:16,2/15/14,12:16:00 PM,12:20:00 PM,2/15/14 1:13,65,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 south,Collision,2/13/14 8:53,2/13/14,8:53:00 AM,8:50:00 AM,2/13/14 9:23,34,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395N north @ MM 9.700,Collision,2/12/14 11:32,2/12/14,11:32:00 AM,11:30:00 AM,2/12/14 12:39,76,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/12/14 6:50,2/12/14,6:50:00 AM,6:50:00 AM,2/12/14 10:00,215,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,2/11/14 7:20,2/11/14,7:20:00 AM,7:20:00 AM,2/11/14 9:54,175,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/11/14 6:39,2/11/14,6:39:00 AM,6:40:00 AM,2/11/14 10:06,235,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/10/14 17:40,2/10/14,5:40:00 AM,5:40:00 AM,2/10/14 18:04,27,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/10/14 8:30,2/10/14,8:30:00 AM,8:30:00 AM,2/10/14 9:09,44,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/7/14 7:58,2/7/14,7:58:00 AM,8:00:00 AM,2/7/14 9:43,119,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/6/14 8:37,2/6/14,8:37:00 AM,8:40:00 AM,2/6/14 10:16,112,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Disabled Vehicle,2/5/14 10:03,2/5/14,10:03:00 AM,10:00:00 AM,2/5/14 10:05,2,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,2/5/14 7:40,2/5/14,7:40:00 AM,7:40:00 AM,2/5/14 9:57,155,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Collision,2/4/14 22:13,2/4/14,10:13:00 AM,10:10:00 AM,2/4/14 22:36,26,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,2/4/14 8:14,2/4/14,8:14:00 AM,8:10:00 AM,2/4/14 8:21,8,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/4/14 7:35,2/4/14,7:35:00 AM,7:40:00 AM,2/4/14 10:14,180,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/3/14 17:18,2/3/14,5:18:00 AM,5:20:00 AM,2/3/14 18:03,51,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,2/3/14 9:58,2/3/14,9:58:00 AM,10:00:00 AM,2/3/14 10:28,34,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,2/3/14 6:53,2/3/14,6:53:00 AM,6:50:00 AM,2/3/14 7:40,53,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,2/3/14 6:48,2/3/14,6:48:00 AM,6:50:00 AM,2/3/14 10:30,252,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/31/14 7:35,1/31/14,7:35:00 AM,7:40:00 AM,1/31/14 9:35,136,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/30/14 15:58,1/30/14,3:58:00 AM,4:00:00 AM,1/30/14 19:00,206,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/30/14 7:31,1/30/14,7:31:00 AM,7:30:00 AM,1/30/14 9:57,165,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 south,Disabled Vehicle,1/30/14 4:14,1/30/14,4:14:00 AM,4:10:00 AM,1/30/14 4:16,2,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,1/29/14 6:38,1/29/14,6:38:00 AM,6:40:00 AM,1/29/14 10:09,239,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Incident,1/29/14 5:59,1/29/14,5:59:00 AM,6:00:00 AM,1/29/14 6:03,5,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/28/14 6:43,1/28/14,6:43:00 AM,6:40:00 AM,1/28/14 9:47,209,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,1/27/14 10:59,1/27/14,10:59:00 AM,11:00:00 AM,1/27/14 12:43,118,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/27/14 7:33,1/27/14,7:33:00 AM,7:30:00 AM,1/27/14 10:04,171,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Disabled Vehicle,1/26/14 15:36,1/26/14,3:36:00 AM,3:40:00 AM,1/26/14 16:06,34,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Disabled Vehicle,1/25/14 5:04,1/25/14,5:04:00 AM,5:00:00 AM,1/25/14 5:31,31,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/24/14 17:03,1/24/14,5:03:00 AM,5:00:00 AM,1/24/14 18:37,107,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,1/24/14 7:30,1/24/14,7:30:00 AM,7:30:00 AM,1/24/14 9:45,153,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/24/14 7:28,1/24/14,7:28:00 AM,7:30:00 AM,1/24/14 9:58,170,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,1/23/14 7:20,1/23/14,7:20:00 AM,7:20:00 AM,1/23/14 10:03,185,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/23/14 6:27,1/23/14,6:27:00 AM,6:30:00 AM,1/23/14 10:20,264,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 south,Disabled Vehicle,1/18/14 15:17,1/18/14,3:17:00 AM,3:20:00 AM,1/18/14 16:05,54,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,1/17/14 13:02,1/17/14,1:02:00 AM,1:00:00 AM,1/17/14 14:11,78,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,1/16/14 17:41,1/16/14,5:41:00 AM,5:40:00 AM,1/16/14 18:39,66,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/16/14 16:50,1/16/14,4:50:00 AM,4:50:00 AM,1/16/14 19:14,163,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/16/14 6:55,1/16/14,6:55:00 AM,7:00:00 AM,1/16/14 10:01,211,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/15/14 6:51,1/15/14,6:51:00 AM,6:50:00 AM,1/15/14 10:22,239,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/14/14 17:20,1/14/14,5:20:00 AM,5:20:00 AM,1/14/14 19:35,153,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/14/14 8:12,1/14/14,8:12:00 AM,8:10:00 AM,1/14/14 9:59,121,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/13/14 9:40,1/13/14,9:40:00 AM,9:40:00 AM,1/13/14 10:26,52,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/13/14 8:33,1/13/14,8:33:00 AM,8:30:00 AM,1/13/14 9:35,70,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,1/13/14 7:24,1/13/14,7:24:00 AM,7:20:00 AM,1/13/14 9:18,129,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Disabled Vehicle,1/11/14 14:20,1/11/14,2:20:00 AM,2:20:00 AM,1/11/14 14:31,12,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Traffic Congestion,1/10/14 18:37,1/10/14,6:37:00 AM,6:40:00 AM,1/10/14 19:21,50,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/10/14 7:33,1/10/14,7:33:00 AM,7:30:00 AM,1/10/14 10:00,167,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,1/9/14 9:16,1/9/14,9:16:00 AM,9:20:00 AM,1/9/14 11:34,156,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/9/14 8:37,1/9/14,8:37:00 AM,8:40:00 AM,1/9/14 9:38,69,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,1/9/14 7:52,1/9/14,7:52:00 AM,7:50:00 AM,1/9/14 9:40,122,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,1/8/14 7:31,1/8/14,7:31:00 AM,7:30:00 AM,1/8/14 7:41,11,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/8/14 7:15,1/8/14,7:15:00 AM,7:20:00 AM,1/8/14 9:50,176,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,1/7/14 19:07,1/7/14,7:07:00 AM,7:10:00 AM,1/7/14 20:13,75,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/7/14 17:26,1/7/14,5:26:00 AM,5:30:00 AM,1/7/14 19:40,152,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,1/7/14 8:24,1/7/14,8:24:00 AM,8:20:00 AM,1/7/14 9:06,48,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,1/7/14 7:28,1/7/14,7:28:00 AM,7:30:00 AM,1/7/14 7:59,35,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,1/7/14 7:06,1/7/14,7:06:00 AM,7:10:00 AM,1/7/14 7:18,14,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,1/6/14 13:53,1/6/14,1:53:00 AM,1:50:00 AM,1/6/14 14:50,65,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,1/6/14 6:32,1/6/14,6:32:00 AM,6:30:00 AM,1/6/14 10:01,237,38.873123,-77.043175,No Match,IN
