Standardized Location,Location,Type,Start Time,Date,Time,Bucket Time,End Time,Duration (minutes),Latitude,Longitude,MM Matches,In/Out
14th St. Bridge,I-395 north,Collision,10/5/13 17:09,10/5/13,5:09:00 AM,5:10:00 AM,10/5/13 17:12,3,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,10/26/13 5:39,10/26/13,5:39:00 AM,5:40:00 AM,10/26/13 6:53,84,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,11/18/13 14:19,11/18/13,2:19:00 AM,2:20:00 AM,11/18/13 14:53,39,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,10/8/13 18:15,10/8/13,6:15:00 AM,6:20:00 AM,10/8/13 18:38,26,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,10/9/13 15:00,10/9/13,3:00:00 AM,3:00:00 AM,10/9/13 15:39,44,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,10/22/13 16:13,10/22/13,4:13:00 AM,4:10:00 AM,10/22/13 16:45,36,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,10/22/13 9:54,10/22/13,9:54:00 AM,9:50:00 AM,10/22/13 10:18,27,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,10/10/13 6:38,10/10/13,6:38:00 AM,6:40:00 AM,10/10/13 7:19,46,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,10/21/13 19:07,10/21/13,7:07:00 AM,7:10:00 AM,10/21/13 20:07,68,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N HOV north @ MM 9.700,Collision,10/10/13 9:08,10/10/13,9:08:00 AM,9:10:00 AM,10/10/13 9:49,46,38.8735,-77.04404,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Collision,12/12/13 7:46,12/12/13,7:46:00 AM,7:50:00 AM,12/12/13 8:11,28,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395S south @ MM 9.700,Collision,12/11/13 18:28,12/11/13,6:28:00 AM,6:30:00 AM,12/11/13 18:46,20,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 south,Collision,10/10/13 23:40,10/10/13,11:40:00 AM,11:40:00 AM,10/10/13 23:41,1,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395S south @ MM 9.700,Collision,11/27/13 9:06,11/27/13,9:06:00 AM,9:10:00 AM,11/27/13 9:41,40,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395N north @ MM 9.700,Collision,10/15/13 20:10,10/15/13,8:10:00 AM,8:10:00 AM,10/15/13 20:41,35,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,12/7/13 16:47,12/7/13,4:47:00 AM,4:50:00 AM,12/7/13 17:46,67,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,12/7/13 11:01,12/7/13,11:01:00 AM,11:00:00 AM,12/7/13 11:56,62,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Collision,12/6/13 16:04,12/6/13,4:04:00 AM,4:00:00 AM,12/6/13 16:19,17,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Collision,10/11/13 21:03,10/11/13,9:03:00 AM,9:00:00 AM,10/11/13 22:21,88,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Collision,10/17/13 8:00,10/17/13,8:00:00 AM,8:00:00 AM,10/17/13 9:07,76,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Collision,10/15/13 6:02,10/15/13,6:02:00 AM,6:00:00 AM,10/15/13 6:57,62,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Collision,10/15/13 15:18,10/15/13,3:18:00 AM,3:20:00 AM,10/15/13 16:11,60,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 south,Disabled Vehicle,12/1/13 9:47,12/1/13,9:47:00 AM,9:50:00 AM,12/1/13 10:26,44,38.873123,-77.043175,No Match,OUT
14th St. Bridge,I-395 north,Disabled Vehicle,11/29/13 11:42,11/29/13,11:42:00 AM,11:40:00 AM,11/29/13 12:16,39,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395S south @ MM 9.700,Disabled Vehicle,11/28/13 10:58,11/28/13,10:58:00 AM,11:00:00 AM,11/28/13 11:25,31,38.873734,-77.044266,No Match,OUT
14th St. Bridge,I-395 north,Disabled Vehicle,11/19/13 9:17,11/19/13,9:17:00 AM,9:20:00 AM,11/19/13 9:21,5,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,11/19/13 4:37,11/19/13,4:37:00 AM,4:40:00 AM,11/19/13 4:57,23,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,11/19/13 0:28,11/19/13,12:28:00 PM,12:30:00 PM,11/19/13 0:35,8,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,11/12/13 9:23,11/12/13,9:23:00 AM,9:20:00 AM,11/12/13 9:41,20,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,12/29/13 12:42,12/29/13,12:42:00 PM,12:40:00 PM,12/29/13 12:49,8,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,11/6/13 5:44,11/6/13,5:44:00 AM,5:40:00 AM,11/6/13 6:10,29,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,12/30/13 17:41,12/30/13,5:41:00 AM,5:40:00 AM,12/30/13 18:42,69,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,10/31/13 18:52,10/31/13,6:52:00 AM,6:50:00 AM,10/31/13 19:59,76,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,10/30/13 9:35,10/30/13,9:35:00 AM,9:40:00 AM,10/30/13 9:49,16,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,10/7/13 7:57,10/7/13,7:57:00 AM,8:00:00 AM,10/7/13 8:45,54,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,10/10/13 3:21,10/10/13,3:21:00 AM,3:20:00 AM,10/10/13 4:25,73,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,10/24/13 9:58,10/24/13,9:58:00 AM,10:00:00 AM,10/24/13 10:16,20,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,10/22/13 11:35,10/22/13,11:35:00 AM,11:40:00 AM,10/22/13 13:22,121,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Disabled Vehicle,10/15/13 22:16,10/15/13,10:16:00 AM,10:20:00 AM,10/15/13 23:22,75,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Disabled Vehicle,10/17/13 9:53,10/17/13,9:53:00 AM,9:50:00 AM,10/17/13 10:04,12,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Incident,12/23/13 2:00,12/23/13,2:00:00 AM,2:00:00 AM,12/23/13 3:06,75,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Incident,12/16/13 11:06,12/16/13,11:06:00 AM,11:10:00 AM,12/16/13 11:18,14,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/27/13 14:03,11/27/13,2:03:00 AM,2:00:00 AM,11/27/13 16:29,165,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/25/13 8:38,11/25/13,8:38:00 AM,8:40:00 AM,11/25/13 8:58,23,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/21/13 8:45,10/21/13,8:45:00 AM,8:50:00 AM,10/21/13 10:16,103,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/20/13 10:15,10/20/13,10:15:00 AM,10:20:00 AM,10/20/13 11:45,102,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/18/13 8:12,10/18/13,8:12:00 AM,8:10:00 AM,10/18/13 9:42,102,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/22/13 8:47,11/22/13,8:47:00 AM,8:50:00 AM,11/22/13 8:55,9,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/3/13 7:05,12/3/13,7:05:00 AM,7:10:00 AM,12/3/13 10:16,216,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/22/13 7:12,10/22/13,7:12:00 AM,7:10:00 AM,10/22/13 7:39,31,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/25/13 17:26,11/25/13,5:26:00 AM,5:30:00 AM,11/25/13 19:29,139,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/2/13 6:56,12/2/13,6:56:00 AM,7:00:00 AM,12/2/13 10:01,210,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,10/22/13 8:04,10/22/13,8:04:00 AM,8:00:00 AM,10/22/13 9:58,129,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/17/13 6:46,10/17/13,6:46:00 AM,6:50:00 AM,10/17/13 10:04,224,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/22/13 15:55,10/22/13,3:55:00 AM,4:00:00 AM,10/22/13 18:52,201,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/15/13 15:02,10/15/13,3:02:00 AM,3:00:00 AM,10/15/13 16:24,93,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/21/13 8:29,11/21/13,8:29:00 AM,8:30:00 AM,11/21/13 9:24,62,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/21/13 6:54,11/21/13,6:54:00 AM,6:50:00 AM,11/21/13 9:52,202,38.873123,-77.043175,No Match,IN
